Model,MAE (Original),RMSE (Original),R²,MAPE (%)
mlp_embeddings,2507.387875897056,4614.672238244745,0.9604725241661072,14.612163126996283
tabtransformer,3722.603083858049,6425.180500434884,0.9537543877959251,18.573539402849924
linear,4920.60530993352,8358.455697607198,0.8949594348669052,29.711969640195935
